Date(D-M-Y),PROJECT,Decription,Type,Qty,Rate,Amount,Inventory,ACCOUNT HEAD,Memo / Note/ Comments,Vendor Name
18/03/2026,Kuddus Nur's Heaven,"Arshadul, Jewel, extra Eid Bonus",Credit,,,6500,,Bonus,eid bouns 2026,
05/04/2026,Kuddus Nur's Heaven,"10mm-33 bundle, 12mm 4 bundle - load+ delivery",Credit,2638,92.8,247781,,Stone Purchase,delivery slip 2724  and memo 7509,M/s Aziz Trading
05/04/2026,Kuddus Nur's Heaven,"BSRM - 20mm 25 bundle 1487kg , 10mm - 331kg +  load - reciveing ",Credit,1818.8,97.8,180479,,Steel/Rod Purchase,"memo 7509, ",M/s Aziz Trading
08/04/2026,Kuddus Nur's Heaven,12mm rod  + delivery,Credit,365,92.8,34480,,Steel/Rod Purchase,7509,M/s Aziz Trading
09/04/2026,Kuddus Nur's Heaven,lighting instoments 4480 with carring and delivery cost,Credit,,,5000,,"Utilities (Electricity, Internet)",,
09/04/2026,Kuddus Nur's Heaven,Eletricity 5000 meter token ,Credit,,,5000,,"Utilities (Electricity, Internet)",5866-6085-0979-7438-8541 12 num,
10/04/2026,Kuddus Nur's Heaven,Stone 9.09 Tone,Credit,,,50000,,Stone Purchase,,STONE ZONE
10/04/2026,Kuddus Nur's Heaven,Slicition Sand 300ft,Credit,,,11500,,Silicon Sand Purchase,,STONE ZONE
11/04/2026,Kuddus Nur's Heaven,"Balu total 3 gari, 600+ 400 ft",Credit,22/23,400/600,22400,,Cement Purchase,33,Bismillah Suppliers
08/04/2026,Kuddus Nur's Heaven,Bricks 15000 for agggragare for 1st slab dhalai,Credit,8800,15,156000,,Bricks Purchase,,M Forkan Uddin CHowdhury
11/04/2026,Kuddus Nur's Heaven,Bricks breaks into AGgrearate ,Credit,,,10500,,Bricks Purchase,,
11/04/2026,Kuddus Nur's Heaven,engineering Visit 2 times 2 days after check the labeling,Credit,2,2000,4000,,Engineer/Consultant Fee,,
13/04/2026,Kuddus Nur's Heaven,20mm Rod ,Credit,1358.7,,127000,,Steel/Rod Purchase,,Bhai Bhai Iron Mart
19/04/2026,Kuddus Nur's Heaven,40 Bag Cement,Credit,,,21600,,Cement Purchase,,Md tarikul islam
19/04/2026,Kuddus Nur's Heaven,12MM Rod 295 KG,Credit,,,"28,208.00",,Steel/Rod Purchase,,Bhai Bhai Iron Mart
02/05/2026,Kuddus Nur's Heaven,"BSRM 20MM  24 bandle, 10MM 4 bundle",Credit,1725,92.8,1725,,Steel/Rod Purchase,7551,M/s Aziz Trading
17/04/2026,Kuddus Nur's Heaven,200ft stone sylhet,Credit,200,,"54,600.00",,Stone Purchase,,STONE ZONE
07/05/2026,Kuddus Nur's Heaven,5 Bag Cement,Credit,,,,,Cement Purchase,,
06/05/2025,Kuddus Nur's Heaven,"Eletricity , pamp position change , Charge",Credit,,,,,"Utilities (Electricity, Internet)",,
06/05/2026,Kuddus Nur's Heaven,3 ton Steel,Credit,3000,88,"2,65,500.00",,Steel/Rod Purchase,,Sheema Automatic ReRolling Mills Ltd
07/05/2026,Kuddus Nur's Heaven,Steel Caring Cost,Credit,,,5300,,Transportation/Carrying Cost,1849266981,
