Date(D-M-Y),PROJECT,Decription,Type,Qty,Rate,Amount,Inventory,ACCOUNT HEAD,Memo / Note/ Comments,Vendor Name
1/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 6th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
1/9/2025,Kuddus Nur's Heaven,Belal ,Debit,,,850000,,Apartment Sales,,
1/9/2025,Kuddus Nur's Heaven,Stone - 5 Tone,Credit,,,20000,5,Stone Purchase,,SS Trading 
1/9/2025,Kuddus Nur's Heaven,Carring Cost for 4310 KG,Credit,4310,,1500,,Transportation/Carrying Cost,77886,KAJI MOHAMMAD
3/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 7th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
4/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 8th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
1/9/2025,Kuddus Nur's Heaven,Carring Cost for 3790KG,Credit,3790,,1500,,Transportation/Carrying Cost,77872,KAJI MOHAMMAD
5/9/2025,Kuddus Nur's Heaven,STONE 10 tone,Credit,,,40000,10,Stone Purchase,,SS Trading 
5/9/2025,Kuddus Nur's Heaven,Carring Cost ,Credit,4500,,1500,,Transportation/Carrying Cost,78339,KAJI MOHAMMAD
5/9/2025,Kuddus Nur's Heaven,Sand,Credit,,5,4600,,Sand Purchase,,Bismillah Suppliers
5/9/2025,Kuddus Nur's Heaven,Carring Cost,Credit,5470,,1500,,Transportation/Carrying Cost,78316,KAJI MOHAMMAD
7/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 9th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
10/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 10th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
11/9/2025,Kuddus Nur's Heaven,Pilling for Constraction 11th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
13/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 12th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
15/09/2025,Kuddus Nur's Heaven,STONE 5ton,Credit,,,20000,5,Stone Purchase,,SS Trading 
15/9/2025,Kuddus Nur's Heaven,Stone Carring Cost ,Credit,4650,,1500,,Transportation/Carrying Cost,79898,KAJI MOHAMMAD
16/09/2025,Kuddus Nur's Heaven,Siliction Sand,Credit,200,,44485,,Silicon Sand Purchase,M/s Khondokar Enterprise 411,
16/09/2025,Kuddus Nur's Heaven,Cement 100 Bag,Credit,100,480,48000,100,Cement Purchase," bsrm rod - 7717; 5722, 12-10-2025 EBL+ Cash 50K ; Paid",M/s Aziz Trading
16/09/2025,Kuddus Nur's Heaven,"BSRM Rod 10mm 986, 26mm 2035 ",Credit,,90,277380,,Steel/Rod Purchase,,M/s Aziz Trading
17/09/2025,Kuddus Nur's Heaven,Cement 100 Bag,Credit,100,480,48000,100,Cement Purchase,,M/s Aziz Trading
18/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 13th,Credit,,,6000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
18/09/2025,Kuddus Nur's Heaven,Cash for Purpose on Pilling,Credit,,,4000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
20/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 14th,Credit,,,6000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
21/09/2025,Kuddus Nur's Heaven,STONE 5ton,Credit,,,20000,5,Stone Purchase,,SS Trading 
22/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 15th,Credit,,,6000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
23/09/2025,Kuddus Nur's Heaven,Without Pilling,Credit,,,3500,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
23/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 16th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
23/09/2025,Kuddus Nur's Heaven,stone ss trading,Credit,,,20000,5,Stone Purchase,,SS Trading 
23/09/2025,Kuddus Nur's Heaven,Carring Cost,Credit,4700,,"1,500",,Transportation/Carrying Cost,81091,KAJI MOHAMMAD
25/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 17th,Credit,,,"5,000",,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
26/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 18th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
27/09/2025,Kuddus Nur's Heaven,stone - ss trading,Credit,,,20000,5,Stone Purchase,,SS Trading 
27/09/2025,Kuddus Nur's Heaven,Carring Cost,Credit,4710,,1500,,Transportation/Carrying Cost,76215,KAJI MOHAMMAD
28/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 19th,Credit,,,8000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
29/09/2025,Kuddus Nur's Heaven,Pilling for Constraction 20th,Credit,,,10000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
30/09/2025,Kuddus Nur's Heaven,Sand,Credit,,5,4600,,Sand Purchase,,Bismillah Suppliers
30/09/2025,Kuddus Nur's Heaven,stone,Credit,,,16000,4,Stone Purchase,,SS Trading 
30/09/2025,Kuddus Nur's Heaven,Carring Cost,Credit,5080,,1500,,Transportation/Carrying Cost,81634,KAJI MOHAMMAD
1/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 21th,Credit,,,10000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
4/10/2025,Kuddus Nur's Heaven,Pilling for Constraction No Pilling 22th,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
5/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 22 & 23 th,Credit,,,15000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
6/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 24th,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
6/10/2025,Kuddus Nur's Heaven,Stone,Credit,,,16200,4,Stone Purchase,,SS Trading 
6/10/2025,Kuddus Nur's Heaven,Carring Cost,Credit,3090,,1500,,Transportation/Carrying Cost,,KAJI MOHAMMAD
7/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 24th complete,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
8/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 25th Half,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
9/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 25th full,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
9/10/2025,Kuddus Nur's Heaven,5 Bag Extra Cement,Credit,,,2730,5,Cement Purchase,,M/s Aziz Trading
11/10/2025,Kuddus Nur's Heaven,Pilling For Constraction 26th  2K in bank transfer,Credit,,,2000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
12/10/2025,Kuddus Nur's Heaven,Pilling For Constraction 26th  8K in Bkash,Credit,,,8000,,Piling Construction,bkash 01818625249 CJC28FQ9BI,Rotary Pilling
12/10/2025,Kuddus Nur's Heaven,Cement 20 Bag,Credit,20,490,9800,20,Cement Purchase,9800 taka diye deya hoise,M/s Aziz Trading
12/10/2025,Kuddus Nur's Heaven,Cement 100 Bag,Credit,100,480,48000,100,Cement Purchase,332182 taka have to pay,M/s Aziz Trading
12/10/2025,Kuddus Nur's Heaven,Carring Cost,Credit,3670,,1500,,Transportation/Carrying Cost,81323,KAJI MOHAMMAD
12/10/2025,Kuddus Nur's Heaven,4 ton Stone,Credit,,,12510,4,Stone Purchase,,SS Trading 
13/10/2025,Kuddus Nur's Heaven,5 ton stone,Credit,,,20000,5,Stone Purchase,,SS Trading 
13/10/2025,Kuddus Nur's Heaven,Sand,Credit,,,4600,360,Sand Purchase,,Bismillah Suppliers
12/10/2025,Kuddus Nur's Heaven,Arshadul Boksis,Credit,,,500,,Bonus,,
13/10/2025,Kuddus Nur's Heaven,Arshadul Boksis,Credit,,,1000,,Bonus,,
13/10/2025,Kuddus Nur's Heaven,Carring Cost,Credit,5100,,1500,,Transportation/Carrying Cost,81335,KAJI MOHAMMAD
14/10/2025,Kuddus Nur's Heaven,2 CC camera Fix and fix price (800+1000),Credit,,,1800,,"Utilities (Electricity, Internet)",,
14/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 27th full,Credit,,,10000,,Piling Construction,bkash 01818625249 CJE8AIMFXK,Rotary Pilling
15/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 28th half ,Credit,,,5000,,Piling Construction,CJF5AZ60OZ,Rotary Pilling
17/10/2025,Kuddus Nur's Heaven,5 Stone,Credit,,,20500,5,Stone Purchase,,SS Trading 
17/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 28th half - finished,Credit,,,6000,,Piling Construction,extra 1000 deya hoise ,Rotary Pilling
18/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 29th half - not finished,Credit,,,3500,,Piling Construction,from ebl ,Rotary Pilling
18/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 29th half - not finished lunch,Credit,,,1000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
19/10/2025,Kuddus Nur's Heaven,Pilling for Constraction 29th half - not finished,Credit,,,6500,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
20/10/2025,Kuddus Nur's Heaven,Pilling constratyion 29th Finished,Credit,,,5000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
21/10/2025,Kuddus Nur's Heaven,Pilling Constraction 30th Finished,Credit,,,10000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
23/10/2025,Kuddus Nur's Heaven,Pilling Constraction 31th Finished,Credit,,,10000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
24/10/2025,Kuddus Nur's Heaven,Pilling Constraction 32th Finished,Credit,,,10000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
24/10/2025,Kuddus Nur's Heaven,2 Ton Stone,Credit,,,8200,2,Stone Purchase,81493,SS Trading 
25/10/2025,Kuddus Nur's Heaven,Engineer Visit,Credit,,,2000,,Engineer/Consultant Fee,,
30/10/2025,Kuddus Nur's Heaven,PIlling Constraction,Credit,,,20000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
5/11/2025,Kuddus Nur's Heaven,Carring Cost 1500 taka extra ,Credit,,,3000,,Transportation/Carrying Cost,,KAJI MOHAMMAD
16/11/2025,Kuddus Nur's Heaven,Pilling Constraction,Credit,,,19000,,Piling Construction,Bank Transfer Brac Bank,Rotary Pilling
17/11/2025,Kuddus Nur's Heaven,5B Booking Money 10 Lakh By Cheque Agrani Bank,Debit,,,1000000,,Apartment Sales,,
5/11/2025,Kuddus Nur's Heaven,4B Installment ,Debit,,,500000,,Apartment Sales,,
26/11/2025,Kuddus Nur's Heaven,4B Installment - Esrat Jahan,Debit,,,300000,,Apartment Sales,,
26/11/2025,Kuddus Nur's Heaven,pilling cost Totally Finihsed ,Credit,,,34950,,Piling Construction,,Rotary Pilling
25/11/2025,Kuddus Nur's Heaven,N.Islam buildersAdvance Constraction Payment,Credit,,,100000,,Contractor Bill,Acknowledgement,
